Date : 2026-04-27 14:00:42
Directory : /home/dharon/watum
Total : 718 files,  115427 codes, 10237 comments, 20628 blanks, all 146292 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| performance/report-new/sbadmin2-1.0.7/bower_components/jquery (Files)                                                           |          2 |         64 |          0 |          1 |         65 |
| performance/report-new/sbadmin2-1.0.7/bower_components/jquery/dist                                                              |          3 |      6,691 |      1,726 |      1,952 |     10,369 |
| performance/report-new/sbadmin2-1.0.7/bower_components/metisMenu                                                                |          4 |        120 |         16 |         42 |        178 |
| performance/report-new/sbadmin2-1.0.7/bower_components/metisMenu (Files)                                                        |          2 |        118 |          0 |         41 |        159 |
| performance/report-new/sbadmin2-1.0.7/bower_components/metisMenu/dist                                                           |          2 |          2 |         16 |          1 |         19 |
| performance/report-new/sbadmin2-1.0.7/dist                                                                                      |          2 |        384 |          8 |         77 |        469 |
| performance/report-new/sbadmin2-1.0.7/dist/css                                                                                  |          1 |        356 |          5 |         71 |        432 |
| performance/report-new/sbadmin2-1.0.7/dist/js                                                                                   |          1 |         28 |          3 |          6 |         37 |
| performance/report-new/sbadmin2-1.0.7/less                                                                                      |          3 |        293 |         15 |         76 |        384 |
| performance/report/content                                                                                                      |         21 |      3,967 |        716 |        476 |      5,159 |
| performance/report/content/css                                                                                                  |          6 |        248 |         87 |         27 |        362 |
| performance/report/content/js                                                                                                   |         11 |      2,473 |        490 |        306 |      3,269 |
| performance/report/content/pages                                                                                                |          4 |      1,246 |        139 |        143 |      1,528 |
| performance/report/sbadmin2-1.0.7                                                                                               |         94 |     24,252 |      3,981 |      5,278 |     33,511 |
| performance/report/sbadmin2-1.0.7 (Files)                                                                                       |          2 |         55 |          0 |         13 |         68 |
| performance/report/sbadmin2-1.0.7/bower_components                                                                              |         87 |     23,520 |      3,958 |      5,112 |     32,590 |
| performance/report/sbadmin2-1.0.7/bower_components/bootstrap                                                                    |          5 |        422 |         10 |         52 |        484 |
| performance/report/sbadmin2-1.0.7/bower_components/bootstrap (Files)                                                            |          2 |        131 |          0 |         52 |        183 |
| performance/report/sbadmin2-1.0.7/bower_components/bootstrap/dist                                                               |          3 |        291 |         10 |          0 |        301 |
| performance/report/sbadmin2-1.0.7/bower_components/bootstrap/dist/css                                                           |          1 |          1 |          5 |          0 |          6 |
| performance/report/sbadmin2-1.0.7/bower_components/bootstrap/dist/fonts                                                         |          1 |        288 |          0 |          0 |        288 |
| performance/report/sbadmin2-1.0.7/bower_components/bootstrap/dist/js                                                            |          1 |          2 |          5 |          0 |          7 |
| performance/report/sbadmin2-1.0.7/bower_components/flot                                                                         |         30 |      8,070 |      1,497 |      2,217 |     11,784 |
| performance/report/sbadmin2-1.0.7/bower_components/flot-axislabels                                                              |          3 |        443 |         61 |         79 |        583 |
| performance/report/sbadmin2-1.0.7/bower_components/flot.tooltip                                                                 |          7 |      2,942 |        562 |        686 |      4,190 |
| performance/report/sbadmin2-1.0.7/bower_components/flot.tooltip (Files)                                                         |          2 |         37 |          0 |          0 |         37 |
| performance/report/sbadmin2-1.0.7/bower_components/flot.tooltip/js                                                              |          5 |      2,905 |        562 |        686 |      4,153 |
| performance/report/sbadmin2-1.0.7/bower_components/font-awesome                                                                 |         33 |      4,768 |         86 |         83 |      4,937 |
| performance/report/sbadmin2-1.0.7/bower_components/font-awesome (Files)                                                         |          2 |         59 |          0 |          1 |         60 |
| performance/report/sbadmin2-1.0.7/bower_components/font-awesome/css                                                             |          2 |      1,664 |         12 |          1 |      1,677 |
| performance/report/sbadmin2-1.0.7/bower_components/font-awesome/fonts                                                           |          1 |        520 |          0 |          0 |        520 |
| performance/report/sbadmin2-1.0.7/bower_components/font-awesome/less                                                            |         14 |      1,247 |         35 |         37 |      1,319 |
| performance/report/sbadmin2-1.0.7/bower_components/font-awesome/scss                                                            |         14 |      1,278 |         39 |         44 |      1,361 |
| performance/report/sbadmin2-1.0.7/bower_components/jquery                                                                       |          5 |      6,755 |      1,726 |      1,953 |     10,434 |
| performance/report/sbadmin2-1.0.7/bower_components/jquery (Files)                                                               |          2 |         64 |          0 |          1 |         65 |
| performance/report/sbadmin2-1.0.7/bower_components/jquery/dist                                                                  |          3 |      6,691 |      1,726 |      1,952 |     10,369 |
| performance/report/sbadmin2-1.0.7/bower_components/metisMenu                                                                    |          4 |        120 |         16 |         42 |        178 |
| performance/report/sbadmin2-1.0.7/bower_components/metisMenu (Files)                                                            |          2 |        118 |          0 |         41 |        159 |
